C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2026/07/30,02:00:00,0000000529939465,,0000000529939464
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",1,8255
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",2,8107
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",3,7846
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",4,7673
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",5,7501
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",6,7325
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",7,7353
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",8,7321
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",9,7314
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",10,7386
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",11,7712
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",12,8132
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",13,8802
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",14,9522
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",15,10066
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",16,10047
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",17,9553
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",18,8804
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",19,8342
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",20,7946
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",21,7528
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",22,7138
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",23,6944
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",24,6717
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",25,6501
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",26,6276
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",27,6255
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",28,6313
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",29,6416
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",30,6676
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",31,7085
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",32,7762
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",33,8469
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",34,9261
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",35,9938
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",36,10647
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",37,10830
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",38,10938
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",39,10901
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",40,10824
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",41,10736
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",42,10511
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",43,10217
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",44,9827
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",45,9564
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",46,9249
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",47,8939
D,DEMAND,HISTORIC,1,NSW1,"2026/07/29 00:00:00",48,8649
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",1,5960
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",2,5797
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",3,5680
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",4,5601
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",5,5545
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",6,5518
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",7,5517
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",8,5519
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",9,5612
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",10,5753
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",11,5981
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",12,6241
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",13,6615
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",14,6977
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",15,7134
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",16,6774
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",17,6254
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",18,5694
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",19,5186
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",20,4779
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",21,4473
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",22,4185
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",23,4198
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",24,4236
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",25,4246
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",26,4194
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",27,4176
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",28,4303
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",29,4509
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",30,4838
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",31,5251
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",32,5764
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",33,6308
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",34,6825
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",35,7120
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",36,7448
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",37,7548
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",38,7547
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",39,7478
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",40,7370
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",41,7271
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",42,7269
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",43,7170
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",44,7005
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",45,6752
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",46,6511
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",47,6327
D,DEMAND,HISTORIC,1,QLD1,"2026/07/29 00:00:00",48,6219
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",1,1657
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",2,1678
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",3,1619
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",4,1581
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",5,1534
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",6,1479
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",7,1445
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",8,1416
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",9,1369
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",10,1363
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",11,1384
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",12,1438
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",13,1485
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",14,1592
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",15,1721
